_id,code,ref,description,category,subcategory,unit,rate,keywords
8de1052b-ba64-4237-8bca-ea805d3b3942,33939_124dbdb1,__export__.product_product_33939_124dbdb1,"Supply and fit knee rail fence as below - 0.9m 150 x 75mm bird mouth posts set in concrete footings at 1.8m centers, 125 x 125mm top rail",Fencing,General Fencing,m,29.689,"supply; and; fit; knee; rail; fence; below; 0.9m; 75mm; bird; mouth; posts; set; concrete; footings; 1.8m; centers; 125mm; top; fencing; general fencing; general; 33939_124dbdb1"
f888d6df-a718-4111-a166-a0458fd9c9f2,33948_0ec81e33,__export__.product_product_33948_0ec81e33,Bolt security head Vision - stainless steel M8 * 40mm,Bolts,Standard Bolts,Unit,0.26,"bolt; security; head; vision; stainless; steel; 40mm; bolts; standard bolts; standard; 33948_0ec81e33"
129759cc-6239-4218-b3dd-71553cc327f9,33949_e135d6a3,__export__.product_product_33949_e135d6a3,Bolt security head Vision - steel galv self tapping M8 * 40mm,Bolts,Standard Bolts,Unit,0.877,"bolt; security; head; vision; steel; galv; self; tapping; 40mm; bolts; standard bolts; standard; 33949_e135d6a3"
f594a9a4-4339-49cb-a078-0d57e5d15228,33950_62e0c81e,__export__.product_product_33950_62e0c81e,Bolt security head Nylofor - stainless steel M8 * 40mm,Bolts,Standard Bolts,Unit,0.23,"bolt; security; head; nylofor; stainless; steel; 40mm; bolts; standard bolts; standard; 33950_62e0c81e"
3fe0258a-ccae-4705-89de-7af2ca6d7689,33951_530da069,__export__.product_product_33951_530da069,Bolt security head Nylofor - stainless steel M8 * 60mm,Bolts,Standard Bolts,Unit,0.23,"bolt; security; head; nylofor; stainless; steel; 60mm; bolts; standard bolts; standard; 33951_530da069"
7b06dace-4331-4733-9dbe-e18fcdd6272c,33952_1e5f3832,__export__.product_product_33952_1e5f3832,Bracket Nylofor 868 - plastic black,Brackets,Standard Brackets,Unit,0.51,"bracket; nylofor; plastic; black; brackets; standard brackets; standard; 33952_1e5f3832"
ed089713-1613-4221-ad61-aa14124e6edb,33953_d421fcf6,__export__.product_product_33953_d421fcf6,Bracket Nylofor 868 - plastic green,Brackets,Standard Brackets,Unit,0.51,"bracket; nylofor; plastic; green; brackets; standard brackets; standard; 33953_d421fcf6"
8cc443d4-659d-4a81-9937-8d2c9569f889,35940_a22f2096,__export__.product_product_35940_a22f2096,Bracket Nylofor - steel black uni,Brackets,Standard Brackets,Unit,0.29,"bracket; nylofor; steel; black; uni; brackets; standard brackets; standard; 35940_a22f2096"
9e9035fe-d24f-418a-86d5-0608920fd876,35941_2a195463,__export__.product_product_35941_2a195463,Bracket Nylofor - steel green uni,Brackets,Standard Brackets,Unit,0.36,"bracket; nylofor; steel; green; uni; brackets; standard brackets; standard; 35941_2a195463"
eb58c3e2-bd04-44ca-9f37-30f1cb1be62a,33954_21f8affc,__export__.product_product_33954_21f8affc,Bracket Nylofor - plastic black beam,Brackets,Standard Brackets,Unit,0.38,"bracket; nylofor; plastic; black; beam; brackets; standard brackets; standard; 33954_21f8affc"
53dbfca9-5478-4d76-bf9e-7f4f90ee081a,33955_4b1236ad,__export__.product_product_33955_4b1236ad,Bracket Nylofor - plastic black uni 3M 656,Brackets,Standard Brackets,Unit,0.38,"bracket; nylofor; plastic; black; uni; brackets; standard brackets; standard; 33955_4b1236ad"
64a8127d-38bd-445c-96a9-4aa5d0490f41,33956_4e0464d2,__export__.product_product_33956_4e0464d2,Bracket Nylofor - plastic green beam,Brackets,Standard Brackets,Unit,0.46,"bracket; nylofor; plastic; green; beam; brackets; standard brackets; standard; 33956_4e0464d2"
2960c919-829d-4dc3-a5ed-0b21c0b8aa5b,33957_1dada70b,__export__.product_product_33957_1dada70b,Bracket Nylofor - plastic green uni 3M 656,Brackets,Standard Brackets,Unit,0.35,"bracket; nylofor; plastic; green; uni; brackets; standard brackets; standard; 33957_1dada70b"
aba9381f-4d08-41f5-9a39-69a16bed10ed,33958_1199cf5e,__export__.product_product_33958_1199cf5e,Bracket Vision - steel black 50 * 40mm,Brackets,Standard Brackets,Unit,0.2,"bracket; vision; steel; black; 40mm; brackets; standard brackets; standard; 33958_1199cf5e"
87e24d2c-e140-41b9-9ab2-91d434d05e05,33959_ac22c052,__export__.product_product_33959_ac22c052,Bracket Vision - steel black 60 * 40mm,Brackets,Standard Brackets,Unit,0.57,"bracket; vision; steel; black; 40mm; brackets; standard brackets; standard; 33959_ac22c052"
a13e5962-9e26-425a-a763-6661d08c5cfb,33960_7549fb67,__export__.product_product_33960_7549fb67,Bracket Vision - steel green 50 * 40mm,Brackets,Standard Brackets,Unit,0.57,"bracket; vision; steel; green; 40mm; brackets; standard brackets; standard; 33960_7549fb67"
bbea7e8e-1718-4d37-a374-ad5999d6e3b4,33961_9c3a7e4d,__export__.product_product_33961_9c3a7e4d,Bracket Vision - steel green 60 * 40mm,Brackets,Standard Brackets,Unit,0.57,"bracket; vision; steel; green; 40mm; brackets; standard brackets; standard; 33961_9c3a7e4d"
7227d62f-bbe9-47ec-99eb-ad027caaaf8b,33962_e84ea3d5,__export__.product_product_33962_e84ea3d5,Post corner Nylofor - steel black 1.8m * 60 * 60mm for 1.2m panel,Posts,Standard Posts,Unit,1,"post; corner; nylofor; steel; black; 1.8m; 60mm; for; 1.2m; panel; posts; standard posts; standard; 33962_e84ea3d5"
eded0567-f8f7-496b-afd9-037b4da631f4,33963_e07a6078,__export__.product_product_33963_e07a6078,Post corner Nylofor - steel black 2.4m * 60 * 60mm for 1.8m panel,Posts,Standard Posts,Unit,1,"post; corner; nylofor; steel; black; 2.4m; 60mm; for; 1.8m; panel; posts; standard posts; standard; 33963_e07a6078"
3f72ac90-0793-43de-a30c-c29cf4a83dd5,33964_9768e374,__export__.product_product_33964_9768e374,Post corner Nylofor - steel black 3.1m * 60 * 60mm for 2.4m panel,Posts,Standard Posts,Unit,1,"post; corner; nylofor; steel; black; 3.1m; 60mm; for; 2.4m; panel; posts; standard posts; standard; 33964_9768e374"
27e51c97-2e04-4235-8012-854efc480027,33965_722e3d80,__export__.product_product_33965_722e3d80,Post corner Nylofor - steel green 1.8m * 60 * 60mm for 1.2m panel,Posts,Standard Posts,Unit,1,"post; corner; nylofor; steel; green; 1.8m; 60mm; for; 1.2m; panel; posts; standard posts; standard; 33965_722e3d80"
