id,code,ref,description,category,subcategory,unit,rate,material_type,material_grade,material_size,material_finish,work_type,brand,labor_rate,material_rate,wastage_percentage,supplier,location,availability,remark,keywords,isActive
0b44a571-a629-4961-b5f3-129136251fb3,34109_00252fe4,__export__.product_product_34109_00252fe4,"Supply and fit stock fence to site - 3 sides sheep wire and 1 plain wire posts at 3m centers, 1No 14' D4 field gate on driven strainers",Fencing,,Unit,1375.26,,,"3 sides sheep wire and 1 plain wire posts at 3m centers, 1No 14' D4 field gate on driven strainers",,,,,,,,,,"3 sides sheep wire and 1 plain wire posts at 3m centers, 1No 14' D4 field gate on driven strainers",supply; and; fit; stock; fence; site; sides; sheep; wire; plain; posts; centers; 1no; 14'; field; gate; driven; strainers; fencing; 34109_00252fe4,true
08eb7464-15eb-407a-8d53-cab00ebbc1e6,34110_af00045a,__export__.product_product_34110_af00045a,Supply and fit stock fence to site - 1 side,Fencing,,Unit,,,,1 side,,,,,,,,,,1 side,supply; and; fit; stock; fence; site; side; fencing; 34110_af00045a,true
7d879326-f5c8-438a-b829-052110f96f8f,34254_dd0b9082,__export__.product_product_34254_dd0b9082,"Supply and fit stock fence to site - 1 side straight line down field approx. 78m, 2.4m Hot copper oil long life strainers as required with 1.8m x 75-100mm Hot copper oil long life posts at 3m centers, galv high tensile 8-80-22 lamb safe wire with 2 strands high tensile barb wire",Fencing,Individual Pieces,Unit,1167.7,,,"1 side straight line down field approx. 78m, 2.4m Hot copper oil long life strainers as required with 1.8m x 75-100mm Hot copper oil long life posts at 3m centers, galv high tensile 8-80-22 lamb safe wire with 2 strands high tensile barb wire",,,,,,,,,,"1 side straight line down field approx. 78m, 2.4m Hot copper oil long life strainers as required with 1.8m x 75-100mm Hot copper oil long life posts at 3m centers, galv high tensile 8-80-22 lamb safe wire with 2 strands high tensile barb wire",supply; and; fit; stock; fence; site; side; straight; line; down; field; approx.; 78m; 2.4m; hot; copper; oil; long; life; strainers; required; with; 1.8m; 100mm; posts; centers; galv; high; tensile; lamb; safe; wire; strands; barb; fencing; individual pieces; 34254_dd0b9082,true
472c6c87-aff1-4b91-be36-2f7d5badcce1,34111_503c0795,__export__.product_product_34111_503c0795,System Eclipse - kit black 1.2m * 3.0m,General,,Unit,49.683,,,kit black 1.2m * 3.0m,,,,,,,,,,kit black 1.2m * 3.0m,system; eclipse; kit; black; 1.2m; 3.0m; general; 34111_503c0795,true
0d67135e-6c39-446e-8346-2a64f169f702,34112_d2f58e17,__export__.product_product_34112_d2f58e17,System Eclipse - kit black 1.8m * 3.0m,General,,Unit,58.391,,,kit black 1.8m * 3.0m,,,,,,,,,,kit black 1.8m * 3.0m,system; eclipse; kit; black; 1.8m; 3.0m; general; 34112_d2f58e17,true
cae8e08f-b570-44cc-be6b-e323da690c48,34113_5c6b7b2c,__export__.product_product_34113_5c6b7b2c,System Eclipse - kit black 2.4m * 3.0m,General,,Unit,71.173,,,kit black 2.4m * 3.0m,,,,,,,,,,kit black 2.4m * 3.0m,system; eclipse; kit; black; 2.4m; 3.0m; general; 34113_5c6b7b2c,true
975feba6-bff4-4626-a3f4-3d48b73cfa05,34114_aa23e73b,__export__.product_product_34114_aa23e73b,System Eclipse - kit black 3.0m * 2.8m,General,,Unit,159.32,,,kit black 3.0m * 2.8m,,,,,,,,,,kit black 3.0m * 2.8m,system; eclipse; kit; black; 3.0m; 2.8m; general; 34114_aa23e73b,true
e3a58866-95a0-4ffa-9e52-6b70ee658f3a,34115_bdb829a3,__export__.product_product_34115_bdb829a3,System Eclipse - kit green 1.2m * 3.0m,General,,Unit,49.683,,,kit green 1.2m * 3.0m,,,,,,,,,,kit green 1.2m * 3.0m,system; eclipse; kit; green; 1.2m; 3.0m; general; 34115_bdb829a3,true
b93d2c14-905f-4f01-beca-6611e6bb3224,34116_ff1138d0,__export__.product_product_34116_ff1138d0,System Eclipse - kit green 1.8m * 3.0m,General,,Unit,55.333,,,kit green 1.8m * 3.0m,,,,,,,,,,kit green 1.8m * 3.0m,system; eclipse; kit; green; 1.8m; 3.0m; general; 34116_ff1138d0,true
5ad59a75-ac05-470e-b7b5-60c3141265ea,34117_6bfd2706,__export__.product_product_34117_6bfd2706,System Eclipse - kit green 2.0m * 3.0m,General,,Unit,64.273,,,kit green 2.0m * 3.0m,,,,,,,,,,kit green 2.0m * 3.0m,system; eclipse; kit; green; 2.0m; 3.0m; general; 34117_6bfd2706,true
